, bm_provider_firm_id , count(distinct bm_doc_id ) 
+---------------------+----------------------------+,,
,              920712 ,                        106 
,              954515 ,                       3067 
,              666031 ,                        740 
,              129700 ,                         14 
,              645263 ,                         23 
,              155225 ,                        199 
,              151254 ,                         36 
,              344944 ,                        898 
,              696832 ,                       4692 
,              741894 ,                        237 
,              992744 ,                        616 
,              607906 ,                         73 
,              211166 ,                        330 
,              938390 ,                       1187 
,               13310 ,                       1972 
,              208595 ,                     193618 
,              927385 ,                         16 
,              510942 ,                        172 
,              239048 ,                         12 
,              985020 ,                       1133 
,              333532 ,                         16 
,               11777 ,                          1 
,              337747 ,                        351 
,              535064 ,                        762 
,              641728 ,                      60978 
,              420624 ,                       1649 
,              297737 ,                        789 
,              229252 ,                         67 
,              878788 ,                          4 
,               29118 ,                       1104 
,              900614 ,                        524 
,              730355 ,                         64 
,              445734 ,                        871 
,              824446 ,                         39 
,              743135 ,                        520 
,              693270 ,                       1362 
,              304299 ,                       8394 
,              469129 ,                       1602 
,              950322 ,                       1057 
,              118591 ,                       1260 
,              205642 ,                       2555 
,              923610 ,                        136 
,              505997 ,                       3189 
,                2837 ,                     166432 
,              612362 ,                        468 
,               70010 ,                         93 
,              275933 ,                       1619 
,              172806 ,                        599 
,               25732 ,                      28425 
,              564564 ,                       7449 
,              224725 ,                        256 
,              720786 ,                        561 
,              818215 ,                          2 
,              775202 ,                       3674 
,              339221 ,                      19847 
,              661521 ,                        405 
,              897269 ,                        231 
,               32108 ,                      25945 
,              831582 ,                       3458 
,              423735 ,                        825 
,              943000 ,                         47 
,               43887 ,                          5 
,              253951 ,                         23 
,              121050 ,                       9577 
,               57190 ,                          2 
,               15943 ,                        817 
,              136299 ,                         84 
,               21750 ,                       4289 
,              841912 ,                       7472 
,              767560 ,                         21 
,              432594 ,                        138 
,              352933 ,                       3620 
,              684267 ,                     106222 
,              728026 ,                        562 
,              409205 ,                       5613 
,              840702 ,                        702 
,              703383 ,                        674 
,              709586 ,                          5 
,              809871 ,                         17 
,              502883 ,                        174 
,              313962 ,                       1786 
,              660334 ,                       8038 
,              737331 ,                        893 
,              199777 ,                       3550 
,              163580 ,                       3431 
,               16299 ,                      61946 
,              413888 ,                        698 
,              724990 ,                       3433 
,              200201 ,                       3214 
,              505374 ,                         14 
,              182543 ,                         23 
,              468309 ,                        317 
,              186241 ,                         13 
,              174590 ,                       1088 
,              546968 ,                       1779 
,              228320 ,                         22 
,              917223 ,                        279 
,              799244 ,                       1382 
,              190953 ,                         78 
,              613731 ,                          1 
,              336728 ,                       1375 
,              800668 ,                       5594 
,              377150 ,                         30 
,              763206 ,                        353 
,              150812 ,                       1107 
,              733660 ,                      12085 
,              517674 ,                         84 
,              431550 ,                        186 
,              162932 ,                        117 
,              238372 ,                       1218 
,              688733 ,                        215 
,               18692 ,                       2086 
,              832968 ,                       8150 
,               72089 ,                        984 
,              317551 ,                         81 
,              493328 ,                        392 
,              104674 ,                      11274 
,              552359 ,                       3675 
,              798951 ,                         39 
,              727729 ,                        311 
,              343730 ,                      19713 
,               12575 ,                       2021 
,              454276 ,                        627 
,              336475 ,                         51 
,              911788 ,                         31 
,              790652 ,                        412 
,              761934 ,                       1313 
,              291929 ,                       1908 
,              379077 ,                         24 
,              781266 ,                      24609 
,              351704 ,                        397 
,              176627 ,                         41 
,               77630 ,                         44 
,              506034 ,                       2067 
,              933841 ,                      12187 
,              508469 ,                        308 
,               14790 ,                          8 
,              286994 ,                       1038 
,               70007 ,                         27 
,              734343 ,                         20 
,              283809 ,                        661 
,              641683 ,                      33327 
,              629003 ,                       2261 
,               18127 ,                      20740 
,              949808 ,                       1661 
,              267608 ,                         43 
,              476443 ,                        182 
,              806132 ,                       1344 
,              262674 ,                        572 
,               31893 ,                       6690 
,              866079 ,                        159 
,              356757 ,                         37 
,              614574 ,                        332 
,              339852 ,                         58 
,              985918 ,                        170 
,              604815 ,                        236 
,              865425 ,                          3 
,               16813 ,                       3614 
,              588906 ,                       4189 
,              512072 ,                         80 
,              768812 ,                         40 
,              777712 ,                       7915 
,              113684 ,                         33 
,              830436 ,                       1311 
,              468436 ,                        113 
,              256108 ,                       6101 
,              562830 ,                       1302 
,              381618 ,                       6664 
,              802286 ,                        433 
,              530038 ,                          1 
,              130797 ,                        820 
,               70001 ,                        315 
,              475411 ,                        224 
,              295300 ,                        155 
,              961512 ,                         82 
,               18154 ,                      29468 
,              208014 ,                       1290 
,              561631 ,                        989 
,               17569 ,                      11196 
,              646526 ,                        353 
,              965174 ,                        444 
,              618995 ,                       3063 
,              121289 ,                        655 
,               31480 ,                      21478 
,              930081 ,                         62 
,              518321 ,                        383 
,              346607 ,                        165 
,              575714 ,                        235 
,              891988 ,                        480 
,               36684 ,                       1916 
,              869893 ,                       3079 
,               54545 ,                     138480 
,              463462 ,                        790 
,              982386 ,                      33569 
,              811691 ,                        206 
,              845206 ,                       5032 
,               44878 ,                        162 
,              482446 ,                       8105 
,              169274 ,                        188 
,               70000 ,                        627 
,              400463 ,                      15757 
,              671286 ,                      13560 
,              870591 ,                        194 
,              995819 ,                          8 
,              295183 ,                        225 
,              763875 ,                        925 
,              108216 ,                       6411 
,              471209 ,                         32 
,              319671 ,                      17409 
,              658498 ,                        468 
,              326562 ,                       5130 
,               28327 ,                      49615 
,              474048 ,                        759 
,              136962 ,                         37 
,               19614 ,                      42573 
,               70009 ,                        131 
,              675139 ,                        594 
,              158385 ,                       1547 
,              273431 ,                        300 
,              286380 ,                       1511 
,              490214 ,                        553 
,              699631 ,                       1497 
,              646857 ,                      11346 
,              252807 ,                      15603 
,              566060 ,                       3546 
,              410874 ,                        943 
,              948979 ,                       6053 
,              596720 ,                         52 
,               67811 ,                      30723 
,              378147 ,                       6511 
,              362743 ,                        900 
,              906991 ,                       3276 
,              997278 ,                       2688 
,              767345 ,                         18 
,              153318 ,                       3719 
,              588857 ,                        846 
,              804027 ,                       1193 
,              770972 ,                        472 
,              666903 ,                       5274 
,              933222 ,                          1 
,              560644 ,                         34 
,              798286 ,                       4323 
,              847805 ,                       5464 
,              164734 ,                        526 
,              270234 ,                        102 
,              824583 ,                        247 
,               62099 ,                      17339 
,              934705 ,                         22 
,               31286 ,                        400 
,              355666 ,                       2609 
,              956571 ,                        895 
,              595903 ,                          8 
,              421842 ,                       3167 
,              865643 ,                        663 
,              625256 ,                        254 
,              723858 ,                       6641 
,               23569 ,                       2324 
,              703191 ,                       2426 
,               13652 ,                         27 
,               91537 ,                       7708 
,              593650 ,                      18021 
,              900677 ,                       2554 
,              773829 ,                        235 
,              191373 ,                         83 
,              774763 ,                       2740 
,              586703 ,                      10195 
,              721245 ,                          1 
,              599272 ,                         30 
,              222456 ,                        866 
,              940834 ,                       3894 
,              254539 ,                      16425 
,               57189 ,                       2348 
,              219930 ,                       6331 
,              285407 ,                       2221 
,              542814 ,                        498 
,              637859 ,                        717 
,              223493 ,                         44 
,              189150 ,                        119 
,              468010 ,                       1000 
,              914651 ,                      22589 
,              634897 ,                     309437 
,              991942 ,                       2377 
,              259115 ,                         45 
,              593026 ,                       1517 
,              133611 ,                         68 
,              360095 ,                         43 
,              519511 ,                       5420 
,              448146 ,                        226 
,              792497 ,                       1188 
,              593989 ,                        176 
,              180034 ,                        168 
,              674996 ,                         30 
,              771074 ,                        223 
,              892484 ,                        999 
,              855769 ,                       2364 
,              759981 ,                         45 
,              765308 ,                        566 
,              451658 ,                        543 
,               21466 ,                        223 
,              937413 ,                      87655 
,              961908 ,                       9717 
,              659573 ,                        771 
,              838613 ,                        655 
,              457496 ,                        176 
,              611207 ,                        403 
,              590451 ,                         52 
,              808358 ,                       3576 
,               29581 ,                       8213 
,              910052 ,                        183 
,               52782 ,                      16172 
,              189926 ,                       1306 
,              300735 ,                       3204 
,              158439 ,                        581 
,              149527 ,                       5236 
,              627051 ,                        135 
,              488978 ,                        255 
,               70002 ,                        448 
,              328130 ,                       3387 
,              250410 ,                          1 
,              815418 ,                        630 
,              877201 ,                       1187 
,              542132 ,                        322 
,              787581 ,                          1 
