+---------------------------+----------------------------+-------------------+,,,
, year(bm_doc_publish_time) , month(bm_doc_publish_time) , count(bm_doc_id ) 
+---------------------------+----------------------------+-------------------+,,,
,                      NULL ,                       NULL ,                 1 
,                      1900 ,                          1 ,                 1 
,                      1984 ,                          9 ,                 1 
,                      1996 ,                          6 ,                 1 
,                      2000 ,                          2 ,                 1 
,                      2000 ,                          3 ,                 1 
,                      2000 ,                          8 ,                 1 
,                      2001 ,                         10 ,                 1 
,                      2001 ,                         11 ,                 2 
,                      2001 ,                         12 ,                 1 
,                      2003 ,                          2 ,                 1 
,                      2003 ,                          4 ,                 1 
,                      2003 ,                          5 ,                 3 
,                      2003 ,                          6 ,                 2 
,                      2003 ,                          7 ,                 2 
,                      2003 ,                          8 ,                 2 
,                      2003 ,                          9 ,                 3 
,                      2003 ,                         10 ,                 5 
,                      2003 ,                         11 ,                 1 
,                      2003 ,                         12 ,                 2 
,                      2004 ,                          1 ,                 2 
,                      2004 ,                          2 ,                 3 
,                      2004 ,                          3 ,                 3 
,                      2004 ,                          4 ,                 5 
,                      2004 ,                          5 ,                 3 
,                      2004 ,                          6 ,                 7 
,                      2004 ,                          7 ,               153 
,                      2004 ,                          8 ,               110 
,                      2004 ,                          9 ,               122 
,                      2004 ,                         10 ,               266 
,                      2004 ,                         11 ,               405 
,                      2004 ,                         12 ,               642 
,                      2005 ,                          1 ,              1077 
,                      2005 ,                          2 ,               709 
,                      2005 ,                          3 ,               639 
,                      2005 ,                          4 ,              1040 
,                      2005 ,                          5 ,               816 
,                      2005 ,                          6 ,               596 
,                      2005 ,                          7 ,               781 
,                      2005 ,                          8 ,               686 
,                      2005 ,                          9 ,               543 
,                      2005 ,                         10 ,               796 
,                      2005 ,                         11 ,               647 
,                      2005 ,                         12 ,               429 
,                      2006 ,                          1 ,               864 
,                      2006 ,                          2 ,               749 
,                      2006 ,                          3 ,               612 
,                      2006 ,                          4 ,               814 
,                      2006 ,                          5 ,               853 
,                      2006 ,                          6 ,               603 
,                      2006 ,                          7 ,               706 
,                      2006 ,                          8 ,               759 
,                      2006 ,                          9 ,               589 
,                      2006 ,                         10 ,               844 
,                      2006 ,                         11 ,               997 
,                      2006 ,                         12 ,               476 
,                      2007 ,                          1 ,               819 
,                      2007 ,                          2 ,               835 
,                      2007 ,                          3 ,               679 
,                      2007 ,                          4 ,               886 
,                      2007 ,                          5 ,               992 
,                      2007 ,                          6 ,               646 
,                      2007 ,                          7 ,               747 
,                      2007 ,                          8 ,               850 
,                      2007 ,                          9 ,               576 
,                      2007 ,                         10 ,               891 
,                      2007 ,                         11 ,              1178 
,                      2007 ,                         12 ,              1052 
,                      2008 ,                          1 ,              3468 
,                      2008 ,                          2 ,              3926 
,                      2008 ,                          3 ,              2820 
,                      2008 ,                          4 ,              3991 
,                      2008 ,                          5 ,              4188 
,                      2008 ,                          6 ,              2976 
,                      2008 ,                          7 ,              4973 
,                      2008 ,                          8 ,              4001 
,                      2008 ,                          9 ,              3350 
,                      2008 ,                         10 ,              5543 
,                      2008 ,                         11 ,              4965 
,                      2008 ,                         12 ,              4020 
,                      2009 ,                          1 ,              9244 
,                      2009 ,                          2 ,             10947 
,                      2009 ,                          3 ,              9508 
,                      2009 ,                          4 ,             11691 
,                      2009 ,                          5 ,             11046 
,                      2009 ,                          6 ,              8870 
,                      2009 ,                          7 ,             13099 
,                      2009 ,                          8 ,             11449 
,                      2009 ,                          9 ,              8913 
,                      2009 ,                         10 ,             13947 
,                      2009 ,                         11 ,             12136 
,                      2009 ,                         12 ,              8027 
,                      2010 ,                          1 ,             12876 
,                      2010 ,                          2 ,             15053 
,                      2010 ,                          3 ,             12935 
,                      2010 ,                          4 ,             15900 
,                      2010 ,                          5 ,             14843 
,                      2010 ,                          6 ,             11526 
,                      2010 ,                          7 ,             18486 
,                      2010 ,                          8 ,             17179 
,                      2010 ,                          9 ,             14199 
,                      2010 ,                         10 ,             20596 
,                      2010 ,                         11 ,             21943 
,                      2010 ,                         12 ,             15129 
,                      2011 ,                          1 ,             23272 
,                      2011 ,                          2 ,             26070 
,                      2011 ,                          3 ,             33745 
,                      2011 ,                          4 ,             33202 
,                      2011 ,                          5 ,             34577 
,                      2011 ,                          6 ,             18297 
,                      2011 ,                          7 ,             25214 
,                      2011 ,                          8 ,             26578 
,                      2011 ,                          9 ,             16894 
,                      2011 ,                         10 ,             24346 
,                      2011 ,                         11 ,             22623 
,                      2011 ,                         12 ,             23251 
,                      2012 ,                          1 ,             68027 
,                      2012 ,                          2 ,             82057 
,                      2012 ,                          3 ,             63946 
,                      2012 ,                          4 ,             73232 
,                      2012 ,                          5 ,             83537 
,                      2012 ,                          6 ,             55253 
,                      2012 ,                          7 ,             76262 
,                      2012 ,                          8 ,             78118 
,                      2012 ,                          9 ,             52528 
,                      2012 ,                         10 ,             84123 
,                      2012 ,                         11 ,             83407 
,                      2012 ,                         12 ,             48389 
,                      2013 ,                          1 ,             80094 
,                      2013 ,                          2 ,             87631 
,                      2013 ,                          3 ,             70544 
,                      2013 ,                          4 ,             78760 
,                      2013 ,                          5 ,             85521 
,                      2013 ,                          6 ,             57372 
,                      2013 ,                          7 ,             86018 
,                      2013 ,                          8 ,             82576 
,                      2013 ,                          9 ,             59917 
,                      2013 ,                         10 ,             89410 
,                      2013 ,                         11 ,             79630 
,                      2013 ,                         12 ,             52480 
,                      2014 ,                          1 ,             78098 
,                      2014 ,                          2 ,             83945 
,                      2014 ,                          3 ,             70354 
,                      2014 ,                          4 ,             82112 
,                      2014 ,                          5 ,             83779 
,                      2014 ,                          6 ,             58281 
