, year(bm_doc_publish_time) , count(bm_doc_id ) 
+---------------------------+-------------------+,,
,                      NULL ,                 1 
,                      1900 ,                 1 
,                      1984 ,                 1 
,                      1996 ,                 1 
,                      2000 ,                 3 
,                      2001 ,                 4 
,                      2003 ,                22 
,                      2004 ,              1721 
,                      2005 ,              8759 
,                      2006 ,              8866 
,                      2007 ,             10151 
,                      2008 ,             48221 
,                      2009 ,            128877 
,                      2010 ,            190665 
,                      2011 ,            308069 
,                      2012 ,            848879 
,                      2013 ,            909953 
,                      2014 ,            898111 
,                      2015 ,           1016535 
,                      2016 ,           1039679 
,                      2017 ,            965169 
,                      2018 ,           1251004 
,                      2019 ,           1283516 
,                      2020 ,           1237213 
,                      2024 ,                 2 
,                      2026 ,                 3 
,                      2027 ,                 1 
,                      2031 ,                 2 
,                      2033 ,                 2 
,                      2036 ,                 1 
,                      2203 ,                 1 
+---------------------------+-------------------+,,
